macrostate,lnp
0,-775.7714745743192
1,-756.0863299407902
2,-739.0868145234987
3,-721.5432776772828
4,-705.9780495751485
5,-693.6767002548378
6,-681.8925719520962
7,-666.4383275544305
8,-651.5600597546005
9,-636.068014426521
10,-622.3293614413259
11,-606.7018479033791
12,-590.5132978334221
13,-575.3165466105347
14,-562.2017062546925
15,-547.5798636163966
16,-533.1295261890905
17,-519.1972087919899
18,-507.81075004953726
19,-492.17734561527743
20,-479.17084726764506
21,-467.31218807137617
22,-452.36366634371007
23,-437.7871628281042
24,-425.2283030960291
25,-414.4363671129635
26,-400.8828502950847
27,-387.1403292644442
28,-372.81329361652
29,-359.55707064037205
30,-346.32743694414484
31,-333.8963587357177
32,-320.84162935227477
33,-307.2285805221857
34,-295.4741747145971
35,-284.6916649879961
36,-271.7563660038147
37,-260.41471355629034
38,-247.49410226844194
39,-236.18931142609247
40,-225.6243706461536
41,-212.70409694531125
42,-202.65934932737824
43,-191.54795401188508
44,-179.92966095271942
45,-170.06250809405392
46,-160.8598365583364
47,-151.84173914544172
48,-143.28423819623927
49,-138.88714696578407
50,-134.8155412456023
51,-131.14232956366064
52,-127.7204340712082
53,-124.53594919889105
54,-121.54010737328478
55,-118.7646233067101
56,-116.02572339244834
57,-113.44021352364
58,-110.98237099334588
59,-108.58712753454748
60,-106.24368584245568
61,-104.04530202920029
62,-101.90167817026104
63,-99.84953327991701
64,-97.83456724281464
65,-95.94136611488027
66,-94.07910004589637
67,-92.26552875387499
68,-90.47080516830162
69,-88.75077775656341
70,-87.08707175907993
71,-85.48414657087146
72,-83.94062515014176
73,-82.48732144551325
74,-81.05296555938405
75,-79.62035273561462
76,-78.19804957068065
77,-76.81251728512034
78,-75.51056824544587
79,-74.23078024764565
80,-73.01497721231935
81,-71.88394845683585
82,-70.75599641930891
83,-69.6643755693738
84,-68.61102165978598
85,-67.57122065274136
86,-66.5709293865364
87,-65.60181468628052
88,-64.68469325656467
89,-63.791465700278465
90,-62.903379049861584
91,-62.072273062591464
92,-61.25597177537808
93,-60.419516085169604
94,-59.64613274926755
95,-58.865985368779135
96,-58.15658449669927
97,-57.47520428135776
98,-56.77291507692409
99,-56.070409153610896
100,-55.377669614286376
101,-54.67273205157089
102,-53.998011907625866
103,-53.37491575992389
104,-52.769367853492255
105,-52.200081974139536
106,-51.623039200365085
107,-51.041411237257236
108,-50.49237048042771
109,-49.97072924002252
110,-49.42428277590356
111,-48.888016172129866
112,-48.328556801311876
113,-47.78485460026154
114,-47.25879988754848
115,-46.746412971158335
116,-46.275163710502554
117,-45.784180449842026
118,-45.33824757592997
119,-44.89566880372665
120,-44.4529594327103
121,-44.00830748302114
122,-43.57727939930798
123,-43.14883131575088
124,-42.72909829145446
125,-42.304564829834064
126,-41.88756449420423
127,-41.48102162307377
128,-41.11625176931152
129,-40.697724144849126
130,-40.287869872660664
131,-39.8463184551221
132,-39.42559791794319
133,-39.010133278212194
134,-38.604902757453985
135,-38.21129036811787
136,-37.86027705323799
137,-37.519983889233956
138,-37.162715969749385
139,-36.83174788433875
140,-36.460308121388195
141,-36.05337028904175
142,-35.59116996352866
143,-35.15999231527307
144,-34.74407277941923
145,-34.37911914399187
146,-34.04972126874979
147,-33.68759580261421
148,-33.37752331309689
149,-33.051991240205254
150,-32.74317451199242
151,-32.44874668900938
152,-32.15642808206603
153,-31.89988576081877
154,-31.606268982856285
155,-31.320740790549202
156,-31.000476425925548
157,-30.708343829310742
158,-30.39462185243716
159,-30.10096150171413
160,-29.815806384685096
