macrostate,lnp
0,-428.67633872874995
1,-417.9480172983137
2,-408.3433125713328
3,-399.2311376509825
4,-390.14548675370685
5,-381.5620360254956
6,-373.13047958711206
7,-364.9621888884515
8,-356.5991925725191
9,-348.58751365838776
10,-340.74606764933134
11,-334.58212790246915
12,-326.87090616456527
13,-319.3626395202375
14,-312.0816007807089
15,-304.8246111806698
16,-297.5624731019519
17,-290.4652207448242
18,-283.3574227462352
19,-275.9448697183876
20,-269.05213180140544
21,-262.3110593207224
22,-255.68469593605323
23,-249.01675031820884
24,-242.69052384015953
25,-236.24463985822746
26,-229.82057598738754
27,-223.5088891420583
28,-217.29270216446133
29,-211.13429169719632
30,-205.06968287775078
31,-199.02773046084013
32,-193.13132136910804
33,-187.35888395553474
34,-181.37869885404245
35,-175.71508484762404
36,-170.21236696136384
37,-164.77503501098067
38,-159.51726302539683
39,-154.32971776780767
40,-149.26487717295183
41,-144.3321812420896
42,-139.50930936281316
43,-134.84109783262258
44,-130.37277793665655
45,-126.09270551808387
46,-122.00830361370308
47,-118.183544953498
48,-114.59767013658657
49,-111.31800406524562
50,-108.33753249947827
51,-105.55711715802889
52,-103.01246559102802
53,-100.62870441913932
54,-98.37708889058885
55,-96.2909712215044
56,-94.31896738333879
57,-92.45888376631714
58,-90.7055193659003
59,-89.04273221914988
60,-87.44584778035025
61,-85.9456282045766
62,-84.5215544879483
63,-83.1542275693204
64,-81.88846720048807
65,-80.68457861678363
66,-79.54571281723642
67,-78.45262911841863
68,-77.42695144066735
69,-76.46124620315962
70,-75.51797735450961
71,-74.60627069091115
72,-73.75209525347842
73,-72.95760109792391
74,-72.2041631263958
75,-71.50924778980928
76,-70.83154551957401
77,-70.23878850730685
78,-69.67383530210034
79,-69.13712136290295
80,-68.62265402298848
81,-68.14398360110854
82,-67.70773612075797
83,-67.30825205952723
84,-66.9407618305332
85,-66.6057407351602
86,-66.28953228899869
87,-66.01424731242136
88,-65.75596628888152
89,-65.5188998893835
90,-65.30183180148939
91,-65.10949406335479
92,-64.94339990347774
93,-64.83047538701894
94,-64.72177287625604
95,-64.63344206851926
96,-64.56550589147432
97,-64.52266104553925
98,-64.4909208381869
99,-64.47912005383895
100,-64.4329883971478
101,-64.40624177891337
102,-64.39577469773636
103,-64.39177519149311
104,-64.40716701669564
105,-64.43084808638972
106,-64.47682588932352
107,-64.53866340140556
108,-64.57722879007227
109,-64.5859325633497
110,-64.55283866779084
111,-64.44099231095683
112,-64.29780907584964
113,-64.17330765332096
114,-64.01226955063706
115,-63.917877923908435
116,-63.86669804056211
117,-63.80419692315522
118,-63.74710575313739
119,-63.702099467038096
120,-63.64027871968105
121,-63.579416166837035
122,-63.484345198133525
123,-63.375987227170384
124,-63.246404619865956
125,-63.12221556889787
126,-62.99537979058684
127,-62.898102670530164
128,-62.81593252604827
129,-62.74889179002341
130,-62.67698240756752
131,-62.604131460606
132,-62.515406629096816
133,-62.322751826986774
134,-62.11768226488235
135,-61.899537188935625
136,-61.647029748059
137,-61.37368141346499
138,-61.28496740886712
139,-61.202513296343085
140,-61.11760823515996
141,-61.03894602295932
142,-60.95010020448157
143,-60.857269083363775
144,-60.77063174773204
145,-60.70816774255306
146,-60.64433127241321
147,-60.57674727777456
148,-60.49629057598216
149,-60.39211731724109
150,-60.28074962104151
151,-60.08456687369201
152,-59.86737377994561
153,-59.64820167366324
154,-59.43331686030038
155,-59.257582169474546
156,-59.218406922570324
157,-59.1878319727044
158,-59.16757297111812
159,-59.14886239289254
160,-59.11371662833395
161,-58.95526009164311
162,-58.83505718163232
163,-58.67414612570897
164,-58.51746976078826
165,-58.36327897346703
166,-58.31604416068362
167,-58.26202884698657
168,-58.20431615536265
169,-58.13343640804763
170,-58.066037878569915
171,-57.993963461686434
172,-57.91584880125535
173,-57.86089871832135
174,-57.811897255915625
175,-57.77063241875865
176,-57.72931609434758
177,-57.66628492343423
178,-57.592973984943484
179,-57.53700153698506
180,-57.501147758125256
181,-57.410785645136485
182,-57.31169310088214
183,-57.20284107049653
184,-57.0812449531754
185,-56.924065961020716
186,-56.7871749450745
187,-56.716021437252635
188,-56.62799375552092
189,-56.53691582294411
190,-56.4384771741185
191,-56.324800231957255
192,-56.18632499774256
193,-56.09733444747272
194,-56.03665131021185
195,-55.94867635155927
196,-55.87926127328646
197,-55.81618046456211
198,-55.754777424285834
199,-55.69458557645939
200,-55.659669679739835
201,-55.607783230083015
202,-55.564135507823465
203,-55.50327053198916
204,-55.42126455654207
205,-55.33805442517226
206,-55.30546191069206
207,-55.31675560970015
208,-55.32561990266092
209,-55.30987011401854
210,-55.278297800428476
211,-55.23628736543688
212,-55.1809889439115
213,-55.117422788502694
214,-55.04750975775963
215,-55.00141195074619
216,-54.98833481743688
217,-54.94893615033638
218,-54.91527070695773
219,-54.88445822746243
220,-54.845267922775946
221,-54.79796232543819
222,-54.7674522360318
223,-54.74468852033007
224,-54.70557824086805
225,-54.664405597271724
226,-54.59475734679532
227,-54.50449551258808
228,-54.396924743492235
229,-54.319227720196324
230,-54.24629573410394
231,-54.189224145202644
232,-54.13953455965773
233,-54.114013769259
234,-54.06557240507854
235,-54.03685743893854
236,-53.968598667393536
237,-53.899159700476474
238,-53.87651707670821
239,-53.84549832386753
240,-53.80242902549085
241,-53.81963378966029
242,-53.84902232168659
243,-53.85452198056217
244,-53.81813209148331
245,-53.72925204157221
246,-53.624067800402
247,-53.49097398115518
248,-53.34004630637466
249,-53.21198038568852
250,-53.13630627161294
251,-53.02269720487985
252,-52.89870152745917
253,-52.795893564458
254,-52.70863165075136
255,-52.61926084543305
256,-52.54899783545014
257,-52.47630000181627
258,-52.39376439130402
259,-52.317361233916046
260,-52.217077366215364
261,-52.07263022806657
262,-52.01650772742798
263,-51.91820778872082
264,-51.82012895677988
265,-51.72458516873226
266,-51.64568938088385
267,-51.55062932607703
268,-51.468850283326475
269,-51.43624532094444
270,-51.391607687846005
271,-51.30519787019662
272,-51.22074239255366
273,-51.08020602679923
274,-50.91805284232626
275,-50.764039936555406
276,-50.603989301271184
277,-50.54951208736193
278,-50.53839145208488
279,-50.49602603000787
280,-50.440954342420724
281,-50.35900850881191
282,-50.29024388252148
283,-50.260866112826506
284,-50.22951435215177
285,-50.206076349772985
286,-50.15779829770477
287,-50.08109285609922
288,-50.041629149720876
289,-50.028358229419126
290,-49.990579180447554
291,-49.94296313190219
292,-49.87983386793681
293,-49.82380963809024
294,-49.62842729913265
295,-49.436305138134884
296,-49.256308007302465
297,-49.08583963461783
298,-48.883576682631286
299,-48.69490131893153
300,-48.56877656027828
301,-48.46461624529988
302,-48.353299528237216
303,-48.23160432005457
304,-48.20623681350472
305,-48.18632681111413
306,-48.16779080043946
307,-48.158815802044415
308,-48.11580968432398
309,-48.05012529502292
310,-47.982600870351945
311,-47.88678937040814
312,-47.79121282345827
313,-47.70164888126399
314,-47.635454590930664
315,-47.54216058478195
316,-47.458421541603144
317,-47.36332211838564
318,-47.24761089530014
319,-47.177495591670294
320,-47.09836939748092
321,-46.99486319756889
322,-46.86420895903106
323,-46.73841981791705
324,-46.614024089934475
325,-46.47157971220358
