macrostate,P_up,P_down
0,0.09121212873194057,0.0
10,0.051698310846665804,2.9518756154921725e-07
21,0.037370901636023135,2.2356786645909964e-07
31,0.030137537237717664,3.913703972604332e-07
42,0.024476590739962886,8.983224438591028e-07
52,0.020764131211371852,2.7645598801440226e-06
63,0.01672994899593551,1.0208639899589201e-05
73,0.014236426948857855,0.0004723165116610115
84,0.013453496771707183,0.004982881935367476
94,0.01264570153921952,0.008488338380862256
105,0.012071004062313867,0.012063665718659767
115,0.011623689634376232,0.01598613545064821
126,0.011009597390959082,0.019752101836956935
136,0.010624799775998499,0.021403546734983698
147,0.01023511058450891,0.024119644459379284
157,0.00994796408272689,0.025008423400334566
168,0.009611654856603407,0.026033316202211592
178,0.009316831901394984,0.02744586316369747
189,0.009039374106004673,0.028105933658833772
199,0.008795557770299677,0.028730948007710658
210,0.008442314700930001,0.028851104403826024
220,0.008247608933853073,0.028530060721412807
231,0.008040011160703261,0.02822392875928626
241,0.007675848031152643,0.02746268813964064
251,0.007548523796725347,0.027270189268264057
262,0.007332715630018674,0.027546839269683685
272,0.00714792629680081,0.0269575904253058
283,0.007048655712037579,0.027841842767538386
293,0.00681489622228593,0.02721829850970257
304,0.006490007396666689,0.02583729452961252
314,0.006469649859455832,0.026070554139881737
325,0.006270641106307095,0.025770397166782373
335,0.006033177112031798,0.02510726211837603
346,0.0059160006980233815,0.025481721319430967
356,0.005582345876577727,0.02441201318739969
367,0.005559815461420105,0.023551277453499324
377,0.005346179860242206,0.023679272799752866
388,0.005156447189007485,0.02325830746685382
398,0.00491972699509816,0.021938780624030534
409,0.004626094388845882,0.0219892096782738
419,0.004586592792802144,0.02174538826761906
430,0.004334420796687163,0.021301091144712826
440,0.0041378457950006055,0.021657322952939474
451,0.0039039022565516158,0.020384641420785044
461,0.003689156582694313,0.01947458883406315
472,0.0034347137384917073,0.018927105829351885
482,0.0032547208205598492,0.018476605857795415
493,0.0029673040301575223,0.01800841748087656
503,0.0027496824277082835,0.01730530542176038
513,0.002422063980403897,0.01648878956789156
524,0.0021617174470622944,0.015557044506213234
534,0.0019097501573000994,0.015076369087868994
545,0.0016859972710709344,0.014702349273513809
555,0.0014100894437829282,0.014392110308792118
566,0.001132009092231645,0.013204231552520696
576,0.000996644972432502,0.013138917761709489
587,0.0007567119154496155,0.012534692800159444
597,0.0007305210552373278,0.01242162235983949
608,0.0005805354623888724,0.011871787044626759
618,0.0004118304970715218,0.011295198195709745
629,0.0003447982490525049,0.01160782779878183
639,0.00024430587778945896,0.011516929134928657
650,0.0002078340822401669,0.011001362223078529
660,0.0001632237812473154,0.011274480819399293
671,0.0001176642258641988,0.011727808095565714
681,9.92284180984351e-05,0.01182465687604603
692,7.831160706820952e-05,0.011927521462239127
702,6.016029202805942e-05,0.011897639177674895
713,4.900063059255456e-05,0.012360662372408274
723,4.11508260037016e-05,0.011781205549292599
734,3.252100150269324e-05,0.012136055046281584
744,2.1108938706880092e-05,0.012455196531933175
