,macrostate,P_up,P_down,term_1,term_2,term_3
0,0,0.068652460199,0.0,0.0,0.0,-0.0
1,11,0.054010082472,0.00032963513411,-1.192205734926705e-18,1.0884610078923856e-39,-1.7655309053110111e-59
2,21,0.038961508141,0.00029121468904,-2.275265809645836e-18,1.7829421626969213e-39,-1.7749927433330132e-59
3,32,0.029997445835,0.0007054865926299999,-3.483771401165798e-18,3.221147540573658e-39,-2.341108034399531e-59
4,43,0.023797427678999998,0.00099649531931,-4.665162834580397e-18,5.0055427790961534e-39,-9.563713180359586e-59
5,53,0.019690300299,0.006126999839100001,-5.5515675822924446e-18,4.847082905081121e-39,-2.1457309034904024e-60
6,64,0.016108259811,0.014416746187,-6.328134024326449e-18,6.394673493429507e-39,-9.068362375763054e-59
7,75,0.013576302912999999,0.020808633159,-7.099136477808334e-18,9.88812945935302e-39,-1.733706858132811e-58
8,86,0.011786610042999999,0.025411892675999997,-7.85694490606392e-18,1.1266581979506692e-38,-1.0674121103015074e-58
9,96,0.010700578153999999,0.028899725818,-8.503272233330932e-18,1.3129462212596754e-38,-3.58805876082049e-58
10,107,0.009681951461200001,0.030695431845999998,-9.234977405616e-18,1.4944297936049293e-38,-2.5130042155611332e-58
11,118,0.0092895756015,0.028790120888,-1.0007107573954334e-17,2.2520958787089952e-38,-6.627277802932698e-58
12,128,0.0088142454788,0.026886290428,-1.0731708459280067e-17,2.621546973719724e-38,-4.817658023985539e-58
13,139,0.0082695327405,0.026155099988000002,-1.152813937002323e-17,2.0566230357227492e-38,-1.994315079065436e-57
14,150,0.0080039713183,0.022243280446,-1.2357331824231114e-17,2.85009091374141e-38,-7.302109581589375e-58
15,160,0.0074957090305,0.024794844679999997,-1.2999612788093017e-17,2.085426532726098e-38,-3.92897986557558e-58
16,171,0.007523114027399999,0.019403254837,-1.3900190121740843e-17,3.449379738080882e-38,6.0244125005053666e-58
17,182,0.0066582512595,0.022474650057,-1.4700064870534898e-17,2.724734242487802e-38,-2.291582610622711e-58
18,193,0.006827485378899999,0.018808193256,-1.5511731478638004e-17,3.6100038436010244e-38,-1.5946139788333386e-58
19,203,0.0060618107991999995,0.018156596784,-1.628126606175669e-17,3.1527408797348127e-38,-3.7881734838632885e-58
20,214,0.0059665621028,0.017679748185,-1.7072594468165607e-17,5.556543298379195e-38,-1.3176355286328725e-57
21,225,0.005487932516300001,0.016334889328,-1.801629606058933e-17,2.892627301192733e-38,-1.1818812992327881e-58
22,235,0.005445588596299999,0.017552388597,-1.863622399318005e-17,3.4638340494791093e-38,-8.62562362590238e-58
23,246,0.005564977702,0.016321045001,-1.9386665790049434e-17,3.447488858245778e-38,-4.1363362380712246e-58
24,257,0.0050703223023000005,0.017014395649,-2.0263944445487563e-17,3.544946647852757e-38,4.485630585238903e-58
25,267,0.005553292061700001,0.016492918441999998,-2.0757494847197626e-17,4.531619277943699e-38,6.729100439793809e-59
26,278,0.0051286379625,0.015057104871,-2.167768892173891e-17,4.14666873702096e-38,-8.086708952704027e-58
27,289,0.0046489610558,0.01404561903,-2.2600917636520547e-17,4.752484848860548e-38,-1.0520162482433863e-57
28,300,0.004324915309,0.013812347388,-2.3469682691815644e-17,4.703927831338417e-38,-4.781777189136794e-58
29,310,0.0045877223116,0.01367274766,-2.4056823011763965e-17,7.005277489218394e-38,2.7604923929760833e-57
30,321,0.0042442350006,0.013381965961,-2.497242756696815e-17,4.439405347878504e-38,-2.307098295911393e-58
31,332,0.0044532318918,0.013530280164000002,-2.5600617107806654e-17,5.900405103188084e-38,4.161801940090016e-57
32,342,0.0040543329526,0.012171631862000001,-2.653125938532096e-17,5.568286066822201e-38,-1.864500271120167e-57
33,353,0.004623252611699999,0.012773862216000001,-2.7093710295376126e-17,4.932584245904812e-38,-1.0021835125498599e-57
