macrostate,P_up,P_down,term_1,term_2
0,0.052007965021000004,0.0,0.0,0.0
10,0.008538615359100001,0.048391790154,-5.698765010140556e-19,3.372725203494433e-39
20,0.0057639235044,0.034751933517,-1.1830940314718255e-18,5.031229611423925e-39
30,0.0047097098541,0.029280817719999998,-1.826517077908409e-18,7.587837063114528e-39
40,0.004114945113,0.026875813808,-2.4370299890938888e-18,9.923212669726264e-39
50,0.0036377964476,0.028515775184999998,-3.077292632837575e-18,9.985934893819952e-39
60,0.0028854923378,0.019164235546,-3.7716890814228435e-18,1.2095502981904696e-38
70,0.0027271298574000004,0.019254471715,-4.442259712999124e-18,1.437891393936218e-38
80,0.0024324036005,0.016661920660999998,-5.02871198795531e-18,1.467857672303727e-38
90,0.0024747819694,0.016981065222000002,-5.645465974148249e-18,1.4190829453286964e-38
100,0.0024135053969,0.014292349834,-6.374050428928848e-18,1.9159160523106843e-38
110,0.0023210029058000005,0.018479113393000002,-6.817731531309446e-18,2.127881647910769e-38
120,0.0019738951648,0.014365634337,-7.708223945108676e-18,2.5966152693820657e-38
130,0.0021558179060000003,0.014823803211,-8.192025275719361e-18,3.055492925925938e-38
140,0.0021165600794,0.014925627622,-8.795728395283225e-18,2.9368787157767503e-38
150,0.0020753545374,0.014732858152,-9.44859128348914e-18,3.1879429898956044e-38
160,0.0018103606977,0.012626498488,-1.0191851190687568e-17,3.2998782265873443e-38
170,0.0016527588662,0.012292892471,-1.0987006895471582e-17,3.4652608700817077e-38
180,0.0017157155291,0.012586050837,-1.1496960925202084e-17,3.467182256739887e-38
190,0.0018081480869,0.012241536123,-1.219365359002814e-17,5.226847050348477e-38
200,0.0016087467920000002,0.013084594817999999,-1.2838293202584549e-17,3.433004347655417e-38
210,0.0018389928964,0.013544839135,-1.3318495159402524e-17,5.302923348888368e-38
220,0.0018016889771,0.010604555481,-1.4113762592665793e-17,4.827519504932864e-38
230,0.0017427265075999998,0.011177734384000002,-1.4676883595309864e-17,4.7016110458651667e-38
240,0.0015957223663,0.010447481149,-1.5502752467073793e-17,3.6196092338321553e-38
250,0.0015304389898,0.010213011225,-1.604413182617997e-17,4.760808869735214e-38
260,0.0019261270518,0.012086432855,-1.6342249820957333e-17,4.811553413548515e-38
270,0.0015332501067,0.010880438955,-1.742033728727553e-17,5.279042998980335e-38
280,0.0017749317525999999,0.0099814746688,-1.7754068168419043e-17,5.997144613523637e-38
290,0.0018916083609,0.010737086251,-1.8316585134153423e-17,5.252934698003892e-38
300,0.00188161743,0.010770653659,-1.8973638745581545e-17,6.329598552999614e-38
310,0.0017980761856999999,0.009923921291299998,-1.9724829976695658e-17,5.279737143019649e-38
