macrostate,lnp
0,-2.472568087620664
1,-1.9041362047392092
2,-1.9668352634178843
3,-2.25729915932402
4,-2.5099097375105233
5,-2.5777355453552557
6,-2.7077760398331403
7,-2.775250824155511
8,-2.7956033215020417
9,-2.980377981289298
10,-3.202442550776711
11,-3.55173778422758
12,-4.090975118237675
13,-4.486148750869497
14,-4.818684866388122
15,-5.129051691727564
16,-5.51278481865076
17,-5.863729575991216
18,-6.194577887668968
19,-6.606877887136225
20,-7.0088225633426235
21,-7.448579170928778
22,-7.908943698245844
23,-8.30239009557691
24,-8.769829054876395
25,-9.279783543663148
26,-9.843086081328737
27,-10.465494487002205
28,-11.050965830279146
29,-11.663249290438033
30,-12.316896019235722
31,-12.87591221676943
32,-13.456812865499003
33,-14.059590259018465
34,-14.631083552933738
35,-15.219690865064178
36,-15.789408328823074
37,-16.41476491817802
38,-17.033210013757564
39,-17.6281759245348
40,-18.247559744951687
41,-18.88953572470698
42,-19.546258378316377
43,-20.193664649905195
44,-20.867784797580548
45,-21.514745241023576
46,-22.09567712403007
47,-22.66404679339701
48,-23.28733056927237
49,-23.916446230715692
50,-24.543277873987137
51,-25.061964928679643
52,-25.508107753302205
53,-25.98334838481945
54,-26.406306324846824
55,-26.85506468364172
56,-27.299189173490028
57,-27.76832338914149
58,-28.221627496006036
59,-28.689798332470467
60,-29.151561555713315
61,-29.67913831388443
62,-30.24708725516323
63,-30.783976363540766
64,-31.33151358615077
65,-31.888790580572476
66,-32.45095846988266
67,-33.015013371224
68,-33.60369151062414
69,-34.202043218243816
70,-34.81112135442252
71,-35.418988166559956
72,-36.02495762113486
73,-36.65029630696298
74,-37.28888531156212
75,-37.93227050479548
76,-38.55919421185405
77,-39.18884598050052
78,-39.8099851417956
79,-40.38927124354073
80,-41.01032392608782
81,-41.60113738110742
82,-42.213782601325825
83,-42.80468541764787
84,-43.33776993921799
85,-43.9377996763368
86,-44.51784557105013
87,-45.06577588353326
88,-45.66965615715192
89,-46.22251925585929
90,-46.84152256783057
91,-47.42832820224165
92,-47.96515121082046
93,-48.45553902564206
94,-49.00646441028032
95,-49.583708945839184
96,-50.1742236979949
97,-50.72736806342204
98,-51.32177808017346
99,-51.84811393520051
100,-52.35045310059487
101,-52.8972871033703
102,-53.43860840155275
103,-53.972879925255235
104,-54.47778741631319
105,-55.043118696399254
106,-55.648004272515905
107,-56.26139407322095
108,-56.85688149974262
109,-57.415772935157094
110,-57.97896193530766
111,-58.55680715438402
112,-59.12137714162322
113,-59.72055774425203
114,-60.24670520043848
115,-60.70596930828391
116,-61.16454366664337
117,-61.607196977354334
118,-62.08294380285257
119,-62.57056006763501
120,-63.04396282636009
121,-63.513297690138984
122,-63.969941128109774
123,-64.41768901451587
124,-64.91576098291748
125,-65.42571293662137
126,-65.91952409886285
127,-66.39595965034398
128,-66.95370626506374
129,-67.48064896487399
130,-68.00854927261108
131,-68.5437815595577
132,-69.09880099174663
133,-69.67580673818118
134,-70.22666066489273
135,-70.76080430838452
136,-71.3353555511151
137,-71.93375786360365
138,-72.56467003213311
139,-73.18788230198003
140,-73.7785423209209
141,-74.37440994122741
142,-74.92711504880883
143,-75.43592871790395
144,-76.02434316050449
145,-76.68298479914615
146,-77.30383821915473
147,-77.92024275542205
148,-78.55690481630157
149,-79.14787073960228
150,-79.70979071886732
151,-80.2595227028198
152,-80.81894037768096
153,-81.37171498036624
154,-82.04173925767766
155,-82.66489471457595
156,-83.31481880388951
157,-83.90445942485826
158,-84.5026753121253
159,-85.13212818753625
160,-85.74439015348618
161,-86.36689862810223
162,-87.04220705937534
163,-87.70171552460037
164,-88.34877730897749
165,-88.95488149629607
166,-89.58948916406955
167,-90.22366419745617
168,-90.87525216824
169,-91.51471907317274
170,-92.16115128615537
171,-92.76814423674556
172,-93.36302993365365
173,-93.98687057674029
174,-94.61859808280896
175,-95.25152973551468
176,-95.89964616612151
177,-96.5232214789228
178,-97.16379128431919
179,-97.75936933856653
180,-98.34457729704656
181,-98.89071656186552
182,-99.45453732994417
183,-100.0618952739306
184,-100.63335483452686
185,-101.17630473752276
186,-101.72087397446894
187,-102.26423898855948
188,-102.74220122011305
189,-103.30978271762535
190,-103.93592653423576
191,-104.54184410194742
192,-105.16078102999012
193,-105.8077297123325
194,-106.43474609745395
195,-107.07358766189628
196,-107.72815324145218
197,-108.38278656511471
198,-109.06872750947043
199,-109.76107502937217
200,-110.44101134854286
201,-111.10786558647486
202,-111.80868251014196
203,-112.5011567301414
204,-113.08651558058486
205,-113.67522919369468
206,-114.19952743866033
207,-114.74400876652685
208,-115.28422857900765
209,-115.88255756437368
210,-116.45998669626589
211,-117.023475215062
212,-117.52905757853988
213,-118.01468308071854
214,-118.58744871210054
215,-119.12037551903336
216,-119.64889772981282
217,-120.1698176539216
218,-120.72453317402136
219,-121.1823814376684
220,-121.6428959542768
221,-122.09848672814996
222,-122.60825413400808
223,-123.04579234120878
224,-123.58756918042349
225,-124.09113279302689
226,-124.62082295092443
227,-125.1541457758473
228,-125.73169525510032
229,-126.18496737907144
230,-126.68637791122362
231,-127.21510389694716
232,-127.7827686449115
233,-128.30839431948397
234,-128.85686010873457
235,-129.34028260774866
236,-129.80632761071374
237,-130.26415876660712
238,-130.69187399109552
239,-131.13987359002928
240,-131.5948792498201
241,-132.0650667859158
242,-132.57430335506905
243,-133.1007595008515
244,-133.648817877496
245,-134.16431997647086
246,-134.69607033714192
247,-135.19096013173476
248,-135.65042286560433
249,-135.96957520677535
250,-136.297112862104
251,-136.60118690722865
252,-136.98087626184528
253,-137.32921042191091
254,-137.55681264322462
255,-137.98512762127154
256,-138.4150493108378
257,-138.8477032327716
258,-139.2870117748943
259,-139.72906300935207
260,-140.10884275792637
261,-140.53212744556666
262,-140.8665880131068
263,-141.09604057031103
264,-141.3378255632393
265,-141.62980414354251
266,-141.96263844056202
267,-142.25874728600505
268,-142.57339850035308
269,-142.85453388508503
270,-143.21406311914794
271,-143.5507370281253
272,-143.8522663441337
273,-144.17204047367306
274,-144.49331856741924
275,-144.85636087731666
276,-145.24495441955486
277,-145.65033499418115
278,-146.01696084958834
279,-146.39928555470695
280,-146.74593359911802
281,-147.04891181283983
282,-147.36754200306757
283,-147.6840755183455
284,-148.09122641323538
285,-148.46881704036107
286,-148.8855745482173
287,-149.22534355832903
288,-149.6392469509956
289,-150.00842698459158
290,-150.41831444856425
291,-150.84862785199078
292,-151.27930438068415
293,-151.6252716106836
294,-152.0266272997923
295,-152.37719082237774
296,-152.67933482005716
297,-153.01671285613574
298,-153.35118929781055
299,-153.6450096746605
300,-154.07480631083968
301,-154.38292797274434
302,-154.65395580450846
303,-154.96483615627108
304,-155.3400482316418
305,-155.67025589166252
306,-155.99313705685478
307,-156.30577678582816
308,-156.62223046906897
309,-157.0385249872104
310,-157.37315771758605
311,-157.74270622962692
312,-158.115592861497
313,-158.43406786464328
314,-158.79016835177714
315,-159.14983244164057
316,-159.4882782936932
317,-159.78374171844277
318,-160.1500726875859
319,-160.42407653882253
320,-160.71084506185744
321,-161.06609728620916
322,-161.40298940173398
323,-161.75281349055146
324,-162.05530591149468
325,-162.41236425297026
326,-162.7517170673311
327,-163.0310785831849
328,-163.32521920106385
329,-163.651181510678
330,-163.95803946536657
331,-164.32503274488286
332,-164.69846567950344
333,-165.066170837852
334,-165.45604660741088
335,-165.79866615225896
336,-166.2082817147876
337,-166.62791968703135
338,-167.05417767798906
339,-167.39610673722308
340,-167.80534170876606
341,-168.21013855399934
342,-168.57589037662194
343,-168.92917153074862
344,-169.31529687958576
345,-169.66070273537932
346,-170.0072665636316
347,-170.30242595163014
348,-170.6412219113233
349,-170.96168092159925
350,-171.28092976676226
351,-171.60783179994985
352,-171.95945609803186
353,-172.29327196228604
354,-172.60831158276784
355,-173.02130970863726
356,-173.42775509799955
357,-173.8062589389324
358,-174.15843228607363
359,-174.55787343866317
360,-174.89707135769447
361,-175.2814489206808
362,-175.5807300997478
363,-175.88018747409865
364,-176.11045081638045
365,-176.35874349062377
366,-176.55207348325214
367,-176.7979738930344
