macrostate,P_up,P_down
0,0.10477038898581219,0.0
10,0.057728635039616547,5.6666891890536595e-08
21,0.04129645584406795,1.0495098374336146e-07
31,0.03348007879230776,6.991463104690678e-07
42,0.027576680106409356,8.357662683268248e-07
52,0.0235530331119907,4.6599740032884245e-07
63,0.019489016149450377,3.504181837036548e-07
73,0.01648218361648543,0.0002734459154238735
84,0.015657616585973304,0.003957501173205348
94,0.014918586011237165,0.00599544589728098
105,0.014344072340704209,0.008995109024059724
115,0.013801524664388677,0.011432314573026748
126,0.013224071607026686,0.013756994203987778
136,0.01281674192922314,0.015479120824818478
147,0.012302413376139958,0.017374423703632874
157,0.011859847253672349,0.017991482418854177
168,0.011580218906251005,0.01973478699981596
178,0.01114601578710005,0.020122026384674325
189,0.010873952547777795,0.020982945570346585
199,0.01049384588558515,0.01985524062473546
210,0.010116156339106465,0.020126897195161836
220,0.009887794416185326,0.020369048094723494
231,0.009589978615656422,0.020046152917000265
241,0.009312894770012854,0.020234219729750254
251,0.009061460178083762,0.019228990360692585
262,0.008779517396621929,0.020077796268419962
272,0.008546583620798274,0.0195520187068592
283,0.008432703920223671,0.020000121056829558
293,0.008141347177609188,0.019464696371325918
304,0.007891675489324195,0.01847128930861596
314,0.007762526043653518,0.01906686361964623
325,0.00746796986935257,0.01837356403088991
335,0.007240096457519254,0.017943709120147165
346,0.0069988442654580416,0.017048233126197774
356,0.006811878289926343,0.017866551092906132
367,0.006578352161242607,0.017181014870360486
377,0.00632676627198103,0.01696903500418371
388,0.006048331315455613,0.01671707715690218
398,0.006030137812871786,0.01566621067710695
409,0.005633741014500785,0.015283562551854729
419,0.00538563920956157,0.014783304111653331
430,0.005227818908573313,0.014626715944716578
440,0.00501533025815332,0.014976032267628555
451,0.004592452974536707,0.013846128658185453
461,0.004529818661426969,0.013959371329899084
472,0.004253455630247153,0.013277501328475326
482,0.0038689705901174803,0.01268313119412769
493,0.0035675433376116386,0.01194886515110063
503,0.003217917351609832,0.012075935470513072
513,0.002973119832940295,0.011245524769275966
524,0.0026634565880639064,0.010942436446600609
534,0.0023081111319731163,0.010187633045065956
545,0.0019848837515813655,0.009632281227361861
555,0.0017217267447962581,0.00924100081011325
566,0.0014872071920553206,0.008997102050016798
576,0.0011842628718603673,0.00864129175031964
587,0.001015383428395022,0.0077274486473428265
597,0.0007806798874348996,0.0077164010315127485
608,0.0006138735349134063,0.0077493557905538284
618,0.0005243330795731855,0.007608991713612735
629,0.00035482834442662384,0.007449314972900288
639,0.00030995888609863586,0.00748014804689035
650,0.00022697580312690092,0.007337886075510056
660,0.00019169620312827713,0.007312602967002464
671,0.00014131729070044458,0.007518902307647363
681,0.0001152928007613585,0.007723585890188277
692,7.650130181452696e-05,0.007556929551395877
702,7.354734654062868e-05,0.008300992396692727
713,5.489617445498242e-05,0.008227274902900194
723,4.4850235650589475e-05,0.008618455037419571
734,3.41883429019637e-05,0.008788621250657207
744,2.47191761551212e-05,0.008436336295786277
