,macrostate,P_up,P_down,term_1,term_2,term_3
0,0,0.054158558456,0.0,0.0,0.0,-0.0
1,11,0.042829114239999994,0.0006664403859500001,-1.1803135407256799e-18,1.2904103530915647e-39,-2.0216825333006493e-59
2,21,0.030161728763000002,0.0011507885229999999,-2.2508917330873667e-18,2.4637575581513665e-39,-3.819543246597823e-59
3,32,0.022732321320000002,0.0011054499326,-3.439692715475052e-18,3.4099327940987555e-39,-6.2080514384009305e-59
4,43,0.017577141284,0.0035858442825,-4.585053318507526e-18,5.262017184477589e-39,-1.2210348707568612e-58
5,53,0.014264785125,0.014482903618999999,-5.424323487035921e-18,7.986407959137407e-39,-1.3595955479560935e-58
6,64,0.011636141431,0.025081745970999998,-6.262054284757881e-18,8.130645686065511e-39,-2.3723630948952158e-58
7,75,0.009600897873,0.037109394424,-6.986148799469747e-18,1.0686502340951145e-38,-6.10211749887676e-59
8,86,0.0082437609975,0.04546526273,-7.710958308940814e-18,1.125092407800116e-38,-2.3361468542430163e-58
9,96,0.0075793668436,0.053525499577,-8.301336060012037e-18,1.376462890309458e-38,-2.0160334154078976e-58
10,107,0.0070441479102,0.050186085839,-9.03612340391397e-18,1.6247788204152767e-38,4.066759831191863e-59
11,118,0.0066118462699,0.054839413353,-9.703734285319237e-18,2.4259868087371385e-38,-4.181779592389969e-58
12,128,0.0061016958294,0.052572115896,-1.0416478619615354e-17,1.9995167319672178e-38,-3.236346302687707e-58
13,139,0.0059031107311,0.050704257367,-1.1118058610314761e-17,2.9957473474886525e-38,7.432577169600588e-58
14,150,0.005568134713699999,0.043945798597,-1.2021556998955172e-17,2.654008579794123e-38,-4.052265966273248e-58
15,160,0.0052416996233,0.041284236378,-1.268120076364772e-17,3.57012996161282e-38,-7.470223762943895e-58
16,171,0.0049351150858,0.040786112353,-1.3452675230321635e-17,3.1067330535045086e-38,-1.5089783489252304e-57
17,182,0.0047702120008,0.040601658149,-1.4211635376344244e-17,4.5394954612513155e-38,-3.110483080530532e-57
18,193,0.0045979913346000005,0.036794448108,-1.5035308280164947e-17,3.813021314247259e-38,-1.5455245447556987e-57
19,203,0.0044706189018,0.03749945656,-1.5726408284656383e-17,4.675019141607381e-38,1.0842847040044006e-57
20,214,0.0041056017505,0.034465757801,-1.6552826855715736e-17,3.9194356548661514e-38,-1.1087884278566953e-59
21,225,0.0038830369979,0.032982918838999994,-1.743801774022535e-17,3.2146454510043867e-38,-7.173876144359452e-58
22,235,0.003979923393500001,0.032448142161,-1.7991230075860884e-17,3.65331088363578e-38,-4.612652238170847e-58
23,246,0.003861769518,0.032589384889000005,-1.876904547935743e-17,5.77690155461465e-38,1.3968740539296576e-57
24,257,0.0038599751384,0.032599132419,-1.9430664218623335e-17,4.897602875010922e-38,-1.6363348955100044e-57
